, (2), (3), (4), (5), (6), (7), (8), (9),(10),(11),(12), (1)
 (1),0.25,0.5,0.33,0.75,0.33,0.25,0.25,0.25,1.0,1.0,0.75,
 (2),,0.5,0.0,0.5,0.25,0.33,0.5,0.75,1.0,1.0,1.0,0.75
 (3),0.5,,1.0,0.67,0.0,0.5,0.75,0.25,1.0,1.0,1.0,0.5
 (4),1.0,0.0,,0.67,0.67,0.33,0.5,0.5,1.0,1.0,0.75,0.67
 (5),0.5,0.33,0.33,,0.67,0.5,0.67,0.25,1.0,1.0,1.0,0.25
 (6),0.75,1.0,0.33,0.33,,0.75,0.25,0.25,1.0,1.0,0.5,0.67
 (7),0.67,0.5,0.67,0.5,0.25,,1.0,0.0,1.0,1.0,0.25,0.75
 (8),0.5,0.25,0.5,0.33,0.75,0.0,,0.0,1.0,1.0,0.75,0.75
 (9),0.25,0.75,0.5,0.75,0.75,1.0,1.0,,1.0,1.0,1.0,0.75
(10),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
(11),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
(12),0.0,0.0,0.25,0.0,0.5,0.75,0.25,0.0,1.0,1.0,,0.25
